Record_ID,H2,Methane,Ethane,Ethylene,Acetylene,CO,CO2,BDV,Moisture_PPM,WTI_HV,WTI_LV,OTI,Loading_pct,Ambient_Temp,Age_Years,IR_HV_E_1min,IR_LV_E_1min,IR_TV_E_1min,IR_HV_E_10min,IR_LV_E_10min,IR_TV_E_10min,PI_HV,PI_LV,PI_TV,Winding_HV_TanDelta_pct,Winding_LV_TanDelta_pct,Winding_TV_TanDelta_pct,Winding_HV_CapChange_pct,Winding_LV_CapChange_pct,Winding_TV_CapChange_pct,Bushing_HV_R_TanDelta_pct,Bushing_HV_Y_TanDelta_pct,Bushing_HV_B_TanDelta_pct,Bushing_HV_R_CapChange_pct,Bushing_HV_Y_CapChange_pct,Bushing_HV_B_CapChange_pct,Bushing_LV_R_TanDelta_pct,Bushing_LV_Y_TanDelta_pct,Bushing_LV_B_TanDelta_pct,Bushing_LV_R_CapChange_pct,Bushing_LV_Y_CapChange_pct,Bushing_LV_B_CapChange_pct,Bushing_TV_R_TanDelta_pct,Bushing_TV_Y_TanDelta_pct,Bushing_TV_B_TanDelta_pct,Bushing_TV_R_CapChange_pct,Bushing_TV_Y_CapChange_pct,Bushing_TV_B_CapChange_pct,Scenario_Generator,IR_Min_1min,IR_Min_10min,PI_Min,Max_Winding_TanDelta_pct,Max_Winding_CapChange_abs_pct,Max_Bushing_TanDelta_pct,Max_Bushing_CapChange_abs_pct,DGA_Subscore,Oil_Subscore,Thermal_Subscore,Age_Subscore,IR_PI_Subscore,Winding_TD_Cap_Subscore,Bushing_TD_Cap_Subscore,HI_PreCap,HI,Condition,Binary_HI,Anomaly_Flag,Anomaly_Type,Hard_Cap_Flag,Hard_Cap_Reason,Dominant_Risk_Parameter,WTI,HI_training_target,label_rule_any_gas_critical,H2_rule_score,Methane_rule_score,Ethane_rule_score,Ethylene_rule_score,Acetylene_rule_score,CO_rule_score,CO2_rule_score,BDV_score,OTI_score,WTI_score,BDV_below_40_flag,OTI_above_90_flag,WTI_above_95_flag,WTI_OTI_delta,thermal_stress_loss,oil_dielectric_loss,operating_score_min,operating_score_avg,H2_condition_from_threshold_table,H2_reason_from_threshold_table,Methane_condition_from_threshold_table,Methane_reason_from_threshold_table,Ethane_condition_from_threshold_table,Ethane_reason_from_threshold_table,Ethylene_condition_from_threshold_table,Ethylene_reason_from_threshold_table,Acetylene_condition_from_threshold_table,Acetylene_reason_from_threshold_table,CO_condition_from_threshold_table,CO_reason_from_threshold_table,CO2_condition_from_threshold_table,CO2_reason_from_threshold_table,gas_rule_avg,gas_rule_min,gas_critical_count,gas_poor_or_worse_count,label_rule_acceptable,label_rule_deteriorated,binary_hi_rule,Label_Rule_Derived,H2_healthy_max,H2_moderate_max,H2_poor_max,H2_critical_over,H2_critical_ratio,H2_critical_excess,H2_critical_flag,Methane_healthy_max,Methane_moderate_max,Methane_poor_max,Methane_critical_over,Methane_critical_ratio,Methane_critical_excess,Methane_critical_flag,Ethane_healthy_max,Ethane_moderate_max,Ethane_poor_max,Ethane_critical_over,Ethane_critical_ratio,Ethane_critical_excess,Ethane_critical_flag,Ethylene_healthy_max,Ethylene_moderate_max,Ethylene_poor_max,Ethylene_critical_over,Ethylene_critical_ratio,Ethylene_critical_excess,Ethylene_critical_flag,Acetylene_healthy_max,Acetylene_moderate_max,Acetylene_poor_max,Acetylene_critical_over,Acetylene_critical_ratio,Acetylene_critical_excess,Acetylene_critical_flag,CO_healthy_max,CO_moderate_max,CO_poor_max,CO_critical_over,CO_critical_ratio,CO_critical_excess,CO_critical_flag,CO2_healthy_max,CO2_moderate_max,CO2_poor_max,CO2_critical_over,CO2_critical_ratio,CO2_critical_excess,CO2_critical_flag,DGA_threshold_table_used_for_training,DGA_threshold_table_version,HI_Final_relation_used_for_training,HI_Final_relation
1,1766.0,982.4,144.9,197.0,33.2,1379.0,8750.7,55.8,23.6,83.3,86.5,76.7,89.4,37.7,23.6,7158.8,7761.2,97.3,11700.6,13544.9,165.5,1.6344359389841874,1.7452069267639025,1.7009249743062693,0.575,0.594,0.592,-3.5,3.03,-2.99,0.641,0.631,0.596,3.17,-3.18,-3.79,0.609,0.618,0.623,4.35,3.42,4.39,0.591,0.559,0.605,2.31,3.41,3.66,Critical_DGA,97.3,165.5,1.634,0.594,3.5,0.641,4.39,0.0382,0.895,0.6865,0.628,0.85,0.722,0.6222,0.5661,0.0,Critical,0,1,Hard_Capped_Critical,1,IR_Min_1min<500 Mohm: critical insulation resistance; IR_Min_10min<1000 Mohm: critical insulation resistance,C2H2,86.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,95.8,96.6,83.75,0.0,0.0,0.0,9.799999999999997,16.25,4.200000000000003,83.75,92.05,Poor,Hydrogen high: Partial discharge/corona or general electrical stress in oil.,Poor,Methane high: Low-temperature oil overheating / low-energy thermal fault.,Poor,Ethane high: Oil decomposition due to low-to-medium temperature thermal fault.,Poor,Ethylene high: High-temperature oil overheating / severe thermal fault.,Poor,Acetylene high: Arcing or high-energy electrical discharge; needs urgent attention if rising.,Poor,CO high: Cellulose/paper insulation overheating or degradation.,Poor,CO2 high: Paper insulation aging/thermal stress; compare with CO and trend.,0.5,0.5,0.0,7.0,0.0,1.0,0.0,Deteriorated,100,700,1800,1800,0.9811111111111112,0.0,0.0,120,400,1000,1000,0.9823999999999999,0.0,0.0,65,100,150,150,0.9660000000000001,0.0,0.0,50,100,200,200,0.985,0.0,0.0,1,9,35,35,0.9485714285714286,0.0,0.0,350,570,1400,1400,0.985,0.0,0.0,2500,4000,10000,10000,0.8750700000000001,0.0,0.0,1,Healthy/Moderate/Poor/Critical score table,1,Final HI target comes from the weighted/capped 48-input research dataset.
2,1600.4,842.7,140.6,193.8,34.1,1309.1,7992.9,33.7,46.4,106.2,109.3,94.7,117.4,45.0,33.0,1782.3,1780.3,1049.9,1972.9,2113.3,1204.3,1.1069404701789822,1.1870471268887268,1.1470616249166585,0.987,0.981,0.944,-9.33,9.49,8.91,0.771,0.82,0.99,7.6,-6.97,-8.92,0.769,0.926,0.817,7.72,-7.07,8.27,0.966,0.805,0.852,-8.41,6.3,-8.97,Very Poor_Mixed,1049.9,1204.3,1.107,0.987,9.49,0.99,8.97,0.0848,0.6166,0.1047,0.2826,1.0,0.0568,0.1898,0.3219,0.3219,Very Poor,0,1,Winding_TD_Cap,0,,C2H2,109.3,32.190000000000005,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0,14.599999999999994,100.0,100.0,0.0,0.0,Poor,Hydrogen high: Partial discharge/corona or general electrical stress in oil.,Poor,Methane high: Low-temperature oil overheating / low-energy thermal fault.,Poor,Ethane high: Oil decomposition due to low-to-medium temperature thermal fault.,Poor,Ethylene high: High-temperature oil overheating / severe thermal fault.,Poor,Acetylene high: Arcing or high-energy electrical discharge; needs urgent attention if rising.,Poor,CO high: Cellulose/paper insulation overheating or degradation.,Poor,CO2 high: Paper insulation aging/thermal stress; compare with CO and trend.,0.5,0.5,0.0,7.0,0.0,1.0,0.0,Deteriorated,100,700,1800,1800,0.8891111111111112,0.0,0.0,120,400,1000,1000,0.8427,0.0,0.0,65,100,150,150,0.9373333333333332,0.0,0.0,50,100,200,200,0.9690000000000001,0.0,0.0,1,9,35,35,0.9742857142857143,0.0,0.0,350,570,1400,1400,0.9350714285714286,0.0,0.0,2500,4000,10000,10000,0.79929,0.0,0.0,1,Healthy/Moderate/Poor/Critical score table,1,Final HI target comes from the weighted/capped 48-input research dataset.
3,1433.5,865.7,133.2,175.2,25.9,1310.2,7080.4,34.9,46.6,101.7,99.3,91.3,109.5,43.5,31.1,1273.1,2506.9,3339.7,1546.2,3055.7,4334.3,1.2145157489592335,1.2189157924129401,1.2978111806449681,0.963,0.99,0.949,-9.34,8.01,-9.36,0.807,0.945,0.886,5.33,-7.58,-6.54,0.901,0.874,0.935,8.82,-7.52,5.28,0.854,0.886,0.747,8.53,6.04,-8.53,Very Poor_Mixed,1273.1,1546.2,1.215,0.99,9.36,0.945,8.82,0.1648,0.6147,0.2556,0.3559,1.0,0.0763,0.1992,0.3648,0.3648,Very Poor,0,1,Winding_TD_Cap,0,,C2H2,101.7,36.480000000000004,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0,10.400000000000006,100.0,100.0,0.0,0.0,Poor,Hydrogen high: Partial discharge/corona or general electrical stress in oil.,Poor,Methane high: Low-temperature oil overheating / low-energy thermal fault.,Poor,Ethane high: Oil decomposition due to low-to-medium temperature thermal fault.,Poor,Ethylene high: High-temperature oil overheating / severe thermal fault.,Poor,Acetylene high: Arcing or high-energy electrical discharge; needs urgent attention if rising.,Poor,CO high: Cellulose/paper insulation overheating or degradation.,Poor,CO2 high: Paper insulation aging/thermal stress; compare with CO and trend.,0.5,0.5,0.0,7.0,0.0,1.0,0.0,Deteriorated,100,700,1800,1800,0.7963888888888889,0.0,0.0,120,400,1000,1000,0.8657,0.0,0.0,65,100,150,150,0.8879999999999999,0.0,0.0,50,100,200,200,0.8759999999999999,0.0,0.0,1,9,35,35,0.74,0.0,0.0,350,570,1400,1400,0.9358571428571429,0.0,0.0,2500,4000,10000,10000,0.70804,0.0,0.0,1,Healthy/Moderate/Poor/Critical score table,1,Final HI target comes from the weighted/capped 48-input research dataset.
4,911.3,546.7,99.1,126.6,19.0,837.4,5620.8,45.6,32.6,92.9,90.6,83.7,97.3,40.3,24.9,5107.8,5398.5,5414.7,7617.0,8022.7,8431.5,1.4912486784917185,1.486097990182458,1.557149980608344,0.7,0.717,0.734,5.46,5.79,-5.76,0.611,0.653,0.685,4.0,3.57,5.16,0.649,0.625,0.687,-4.33,4.16,3.97,0.711,0.666,0.628,-5.33,3.8,-4.56,Poor_Mixed,5107.8,7617.0,1.486,0.734,5.79,0.711,5.33,0.4168,0.7629,0.4904,0.5831,1.0,0.4361,0.5204,0.5887,0.5887,Poor,0,1,DGA,0,,C2H2,92.9,58.87,0.0,0.5,0.5,0.75,0.5,0.5,0.5,0.5,81.2,82.6,60.49999999999997,0.0,0.0,0.0,9.200000000000003,39.50000000000003,18.799999999999997,60.49999999999997,74.76666666666665,Poor,Hydrogen high: Partial discharge/corona or general electrical stress in oil.,Poor,Methane high: Low-temperature oil overheating / low-energy thermal fault.,Moderate,Ethane high: Oil decomposition due to low-to-medium temperature thermal fault.,Poor,Ethylene high: High-temperature oil overheating / severe thermal fault.,Poor,Acetylene high: Arcing or high-energy electrical discharge; needs urgent attention if rising.,Poor,CO high: Cellulose/paper insulation overheating or degradation.,Poor,CO2 high: Paper insulation aging/thermal stress; compare with CO and trend.,0.5357142857142857,0.5,0.0,6.0,0.0,1.0,0.0,Deteriorated,100,700,1800,1800,0.5062777777777777,0.0,0.0,120,400,1000,1000,0.5467000000000001,0.0,0.0,65,100,150,150,0.6606666666666666,0.0,0.0,50,100,200,200,0.633,0.0,0.0,1,9,35,35,0.5428571428571428,0.0,0.0,350,570,1400,1400,0.5981428571428571,0.0,0.0,2500,4000,10000,10000,0.56208,0.0,0.0,1,Healthy/Moderate/Poor/Critical score table,1,Final HI target comes from the weighted/capped 48-input research dataset.
5,1091.5,588.8,110.7,120.4,15.3,873.9,5769.3,42.4,34.4,91.8,89.6,84.0,101.2,39.7,26.1,5930.4,4989.6,6066.0,9416.2,7411.3,10110.0,1.587784972345879,1.4853495270161936,1.6666666666666667,0.731,0.705,0.74,5.59,5.58,5.6,0.701,0.695,0.633,3.9,-4.46,4.37,0.721,0.675,0.647,4.48,-4.56,4.95,0.628,0.63,0.66,4.82,-4.66,-3.87,Poor_Mixed,4989.6,7411.3,1.485,0.74,5.6,0.721,4.95,0.4133,0.7414,0.4865,0.5407,1.0,0.4331,0.5043,0.5794,0.5794,Poor,0,1,DGA,0,,C2H2,91.8,57.940000000000005,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,74.8,82.0,66.00000000000001,0.0,0.0,0.0,7.799999999999997,33.999999999999986,25.200000000000003,66.00000000000001,74.26666666666667,Poor,Hydrogen high: Partial discharge/corona or general electrical stress in oil.,Poor,Methane high: Low-temperature oil overheating / low-energy thermal fault.,Poor,Ethane high: Oil decomposition due to low-to-medium temperature thermal fault.,Poor,Ethylene high: High-temperature oil overheating / severe thermal fault.,Poor,Acetylene high: Arcing or high-energy electrical discharge; needs urgent attention if rising.,Poor,CO high: Cellulose/paper insulation overheating or degradation.,Poor,CO2 high: Paper insulation aging/thermal stress; compare with CO and trend.,0.5,0.5,0.0,7.0,0.0,1.0,0.0,Deteriorated,100,700,1800,1800,0.6063888888888889,0.0,0.0,120,400,1000,1000,0.5888,0.0,0.0,65,100,150,150,0.738,0.0,0.0,50,100,200,200,0.602,0.0,0.0,1,9,35,35,0.43714285714285717,0.0,0.0,350,570,1400,1400,0.6242142857142857,0.0,0.0,2500,4000,10000,10000,0.57693,0.0,0.0,1,Healthy/Moderate/Poor/Critical score table,1,Final HI target comes from the weighted/capped 48-input research dataset.
6,1608.8,909.2,138.6,185.2,33.8,1293.7,8184.7,34.6,46.3,102.9,102.4,95.4,117.1,44.1,29.6,1021.2,1042.2,1694.4,1200.0,1200.0,1859.5,1.1750881316098707,1.1514104778353482,1.0974386213408875,0.884,0.91,0.894,-8.53,8.9,8.13,0.748,0.763,0.746,7.43,5.85,6.67,0.843,0.756,0.779,-8.7,-6.03,7.87,0.682,0.697,0.668,6.65,8.21,5.4,Very Poor_Mixed,1021.2,1200.0,1.097,0.91,8.9,0.843,8.7,0.086,0.6175,0.1656,0.4126,1.0,0.1441,0.3279,0.372,0.372,Very Poor,0,1,DGA,0,,C2H2,102.9,37.2,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0,7.5,100.0,100.0,0.0,0.0,Poor,Hydrogen high: Partial discharge/corona or general electrical stress in oil.,Poor,Methane high: Low-temperature oil overheating / low-energy thermal fault.,Poor,Ethane high: Oil decomposition due to low-to-medium temperature thermal fault.,Poor,Ethylene high: High-temperature oil overheating / severe thermal fault.,Poor,Acetylene high: Arcing or high-energy electrical discharge; needs urgent attention if rising.,Poor,CO high: Cellulose/paper insulation overheating or degradation.,Poor,CO2 high: Paper insulation aging/thermal stress; compare with CO and trend.,0.5,0.5,0.0,7.0,0.0,1.0,0.0,Deteriorated,100,700,1800,1800,0.8937777777777778,0.0,0.0,120,400,1000,1000,0.9092,0.0,0.0,65,100,150,150,0.9239999999999999,0.0,0.0,50,100,200,200,0.9259999999999999,0.0,0.0,1,9,35,35,0.9657142857142856,0.0,0.0,350,570,1400,1400,0.9240714285714287,0.0,0.0,2500,4000,10000,10000,0.81847,0.0,0.0,1,Healthy/Moderate/Poor/Critical score table,1,Final HI target comes from the weighted/capped 48-input research dataset.
7,1329.5,835.2,132.2,180.8,33.0,1149.6,8141.8,34.6,46.4,107.1,105.7,91.6,113.4,44.1,31.3,2498.0,2037.3,1805.5,2954.0,2331.3,2043.4,1.1825460368294636,1.144308643793256,1.1317640542785932,0.942,0.967,0.903,9.28,-8.77,8.66,0.882,0.83,0.753,6.09,7.59,6.36,0.751,0.856,0.685,7.67,6.44,-6.71,0.761,0.806,0.772,6.38,7.04,6.27,Very Poor_Mixed,1805.5,2043.4,1.132,0.967,9.28,0.882,7.67,0.143,0.6166,0.1634,0.3483,1.0,0.0963,0.2886,0.3689,0.3689,Very Poor,0,1,Winding_TD_Cap,0,,C2H2,107.1,36.89,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0,15.5,100.0,100.0,0.0,0.0,Poor,Hydrogen high: Partial discharge/corona or general electrical stress in oil.,Poor,Methane high: Low-temperature oil overheating / low-energy thermal fault.,Poor,Ethane high: Oil decomposition due to low-to-medium temperature thermal fault.,Poor,Ethylene high: High-temperature oil overheating / severe thermal fault.,Poor,Acetylene high: Arcing or high-energy electrical discharge; needs urgent attention if rising.,Poor,CO high: Cellulose/paper insulation overheating or degradation.,Poor,CO2 high: Paper insulation aging/thermal stress; compare with CO and trend.,0.5,0.5,0.0,7.0,0.0,1.0,0.0,Deteriorated,100,700,1800,1800,0.7386111111111111,0.0,0.0,120,400,1000,1000,0.8352,0.0,0.0,65,100,150,150,0.8813333333333333,0.0,0.0,50,100,200,200,0.904,0.0,0.0,1,9,35,35,0.9428571428571428,0.0,0.0,350,570,1400,1400,0.8211428571428571,0.0,0.0,2500,4000,10000,10000,0.81418,0.0,0.0,1,Healthy/Moderate/Poor/Critical score table,1,Final HI target comes from the weighted/capped 48-input research dataset.
8,766.1,487.3,101.3,108.7,12.7,684.5,5136.7,50.4,31.5,94.0,91.5,81.0,96.0,39.7,19.4,6971.2,6068.8,6508.6,11246.8,10258.4,10908.1,1.613323387652054,1.690350645926707,1.6759518175951817,0.701,0.655,0.673,5.71,-5.05,-4.97,0.688,0.634,0.612,4.06,3.21,4.08,0.595,0.57,0.647,-3.97,4.25,4.66,0.534,0.652,0.656,4.25,-4.43,4.11,Poor_Mixed,6068.8,10258.4,1.613,0.701,5.71,0.688,4.66,0.518,0.7766,0.5052,0.7656,1.0,0.4984,0.5832,0.6462,0.6462,Fair,1,1,Winding_TD_Cap,0,,C2H2,94.0,64.62,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,90.4,88.0,55.0,0.0,0.0,0.0,13.0,45.0,9.599999999999994,55.0,77.8,Poor,Hydrogen high: Partial discharge/corona or general electrical stress in oil.,Poor,Methane high: Low-temperature oil overheating / low-energy thermal fault.,Poor,Ethane high: Oil decomposition due to low-to-medium temperature thermal fault.,Poor,Ethylene high: High-temperature oil overheating / severe thermal fault.,Poor,Acetylene high: Arcing or high-energy electrical discharge; needs urgent attention if rising.,Poor,CO high: Cellulose/paper insulation overheating or degradation.,Poor,CO2 high: Paper insulation aging/thermal stress; compare with CO and trend.,0.5,0.5,0.0,7.0,0.0,1.0,0.0,Deteriorated,100,700,1800,1800,0.4256111111111111,0.0,0.0,120,400,1000,1000,0.4873,0.0,0.0,65,100,150,150,0.6753333333333333,0.0,0.0,50,100,200,200,0.5435,0.0,0.0,1,9,35,35,0.3628571428571428,0.0,0.0,350,570,1400,1400,0.48892857142857143,0.0,0.0,2500,4000,10000,10000,0.51367,0.0,0.0,1,Healthy/Moderate/Poor/Critical score table,1,Final HI target comes from the weighted/capped 48-input research dataset.
9,902.7,481.7,106.8,112.2,16.7,807.8,5887.1,49.8,32.6,88.9,86.1,81.3,93.6,39.0,25.3,5599.5,6927.1,6645.2,8268.5,11507.3,10966.6,1.4766497008661488,1.661200213653621,1.650303978811774,0.719,0.731,0.733,-4.96,5.29,5.06,0.677,0.635,0.593,4.69,5.04,4.91,0.722,0.708,0.656,4.8,3.17,-3.85,0.706,0.607,0.662,4.14,-4.88,-4.53,Poor_Mixed,5599.5,8268.5,1.477,0.733,5.29,0.722,5.04,0.4484,0.7629,0.5892,0.569,1.0,0.4583,0.5101,0.607,0.607,Fair,1,1,DGA,0,,C2H2,88.9,60.699999999999996,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,89.6,87.4,77.74999999999999,0.0,0.0,0.0,7.6000000000000085,22.250000000000014,10.400000000000006,77.74999999999999,84.91666666666667,Poor,Hydrogen high: Partial discharge/corona or general electrical stress in oil.,Poor,Methane high: Low-temperature oil overheating / low-energy thermal fault.,Poor,Ethane high: Oil decomposition due to low-to-medium temperature thermal fault.,Poor,Ethylene high: High-temperature oil overheating / severe thermal fault.,Poor,Acetylene high: Arcing or high-energy electrical discharge; needs urgent attention if rising.,Poor,CO high: Cellulose/paper insulation overheating or degradation.,Poor,CO2 high: Paper insulation aging/thermal stress; compare with CO and trend.,0.5,0.5,0.0,7.0,0.0,1.0,0.0,Deteriorated,100,700,1800,1800,0.5015000000000001,0.0,0.0,120,400,1000,1000,0.48169999999999996,0.0,0.0,65,100,150,150,0.712,0.0,0.0,50,100,200,200,0.561,0.0,0.0,1,9,35,35,0.47714285714285715,0.0,0.0,350,570,1400,1400,0.577,0.0,0.0,2500,4000,10000,10000,0.5887100000000001,0.0,0.0,1,Healthy/Moderate/Poor/Critical score table,1,Final HI target comes from the weighted/capped 48-input research dataset.
10,420.1,235.1,74.2,83.1,4.3,499.0,3453.4,52.7,27.3,83.4,81.8,74.8,88.7,37.1,13.7,7616.0,8720.1,8214.6,12724.0,15563.4,14337.9,1.6706932773109244,1.7847731104001099,1.7454166971002847,0.587,0.572,0.577,3.85,3.49,2.96,0.537,0.58,0.628,2.97,2.98,2.9,0.571,0.552,0.591,3.4,3.94,-3.37,0.616,0.546,0.586,3.25,3.35,2.91,Fair_Mixed,7616.0,12724.0,1.671,0.587,3.85,0.628,3.94,0.7492,0.8337,0.742,0.9269,1.0,0.7163,0.6848,0.7914,0.7914,Fair,1,0,No_Anomaly,0,,C2H2,83.4,79.14,0.0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,92.7,100.0,91.49999999999999,0.0,0.0,0.0,8.600000000000009,8.500000000000014,7.299999999999997,91.49999999999999,94.73333333333333,Moderate,Hydrogen high: Partial discharge/corona or general electrical stress in oil.,Moderate,Methane high: Low-temperature oil overheating / low-energy thermal fault.,Moderate,Ethane high: Oil decomposition due to low-to-medium temperature thermal fault.,Moderate,Ethylene high: High-temperature oil overheating / severe thermal fault.,Moderate,Acetylene high: Arcing or high-energy electrical discharge; needs urgent attention if rising.,Moderate,CO high: Cellulose/paper insulation overheating or degradation.,Moderate,CO2 high: Paper insulation aging/thermal stress; compare with CO and trend.,0.75,0.75,0.0,0.0,1.0,0.0,1.0,Acceptable,100,700,1800,1800,0.2333888888888889,0.0,0.0,120,400,1000,1000,0.2351,0.0,0.0,65,100,150,150,0.4946666666666667,0.0,0.0,50,100,200,200,0.4155,0.0,0.0,1,9,35,35,0.12285714285714285,0.0,0.0,350,570,1400,1400,0.35642857142857143,0.0,0.0,2500,4000,10000,10000,0.34534000000000004,0.0,0.0,1,Healthy/Moderate/Poor/Critical score table,1,Final HI target comes from the weighted/capped 48-input research dataset.
