Record_ID,H2_Tminus2,CH4_Tminus2,C2H6_Tminus2,C2H4_Tminus2,C2H2_Tminus2,CO_Tminus2,CO2_Tminus2,BDV_Tminus2,Moisture_PPM_Tminus2,WTI_HV_Tminus2,WTI_LV_Tminus2,OTI_Tminus2,Loading_pct_Tminus2,Ambient_Temp_Tminus2,Age_Years_Tminus2,IR_HV_E_1min_Tminus2,IR_LV_E_1min_Tminus2,IR_TV_E_1min_Tminus2,IR_HV_E_10min_Tminus2,IR_LV_E_10min_Tminus2,IR_TV_E_10min_Tminus2,PI_HV_Tminus2,PI_LV_Tminus2,PI_TV_Tminus2,Winding_HV_TanDelta_pct_Tminus2,Winding_LV_TanDelta_pct_Tminus2,Winding_TV_TanDelta_pct_Tminus2,Winding_HV_CapChange_pct_Tminus2,Winding_LV_CapChange_pct_Tminus2,Winding_TV_CapChange_pct_Tminus2,Bushing_HV_R_TanDelta_pct_Tminus2,Bushing_HV_Y_TanDelta_pct_Tminus2,Bushing_HV_B_TanDelta_pct_Tminus2,Bushing_HV_R_CapChange_pct_Tminus2,Bushing_HV_Y_CapChange_pct_Tminus2,Bushing_HV_B_CapChange_pct_Tminus2,Bushing_LV_R_TanDelta_pct_Tminus2,Bushing_LV_Y_TanDelta_pct_Tminus2,Bushing_LV_B_TanDelta_pct_Tminus2,Bushing_LV_R_CapChange_pct_Tminus2,Bushing_LV_Y_CapChange_pct_Tminus2,Bushing_LV_B_CapChange_pct_Tminus2,Bushing_TV_R_TanDelta_pct_Tminus2,Bushing_TV_Y_TanDelta_pct_Tminus2,Bushing_TV_B_TanDelta_pct_Tminus2,Bushing_TV_R_CapChange_pct_Tminus2,Bushing_TV_Y_CapChange_pct_Tminus2,Bushing_TV_B_CapChange_pct_Tminus2,H2_Tminus1,CH4_Tminus1,C2H6_Tminus1,C2H4_Tminus1,C2H2_Tminus1,CO_Tminus1,CO2_Tminus1,BDV_Tminus1,Moisture_PPM_Tminus1,WTI_HV_Tminus1,WTI_LV_Tminus1,OTI_Tminus1,Loading_pct_Tminus1,Ambient_Temp_Tminus1,Age_Years_Tminus1,IR_HV_E_1min_Tminus1,IR_LV_E_1min_Tminus1,IR_TV_E_1min_Tminus1,IR_HV_E_10min_Tminus1,IR_LV_E_10min_Tminus1,IR_TV_E_10min_Tminus1,PI_HV_Tminus1,PI_LV_Tminus1,PI_TV_Tminus1,Winding_HV_TanDelta_pct_Tminus1,Winding_LV_TanDelta_pct_Tminus1,Winding_TV_TanDelta_pct_Tminus1,Winding_HV_CapChange_pct_Tminus1,Winding_LV_CapChange_pct_Tminus1,Winding_TV_CapChange_pct_Tminus1,Bushing_HV_R_TanDelta_pct_Tminus1,Bushing_HV_Y_TanDelta_pct_Tminus1,Bushing_HV_B_TanDelta_pct_Tminus1,Bushing_HV_R_CapChange_pct_Tminus1,Bushing_HV_Y_CapChange_pct_Tminus1,Bushing_HV_B_CapChange_pct_Tminus1,Bushing_LV_R_TanDelta_pct_Tminus1,Bushing_LV_Y_TanDelta_pct_Tminus1,Bushing_LV_B_TanDelta_pct_Tminus1,Bushing_LV_R_CapChange_pct_Tminus1,Bushing_LV_Y_CapChange_pct_Tminus1,Bushing_LV_B_CapChange_pct_Tminus1,Bushing_TV_R_TanDelta_pct_Tminus1,Bushing_TV_Y_TanDelta_pct_Tminus1,Bushing_TV_B_TanDelta_pct_Tminus1,Bushing_TV_R_CapChange_pct_Tminus1,Bushing_TV_Y_CapChange_pct_Tminus1,Bushing_TV_B_CapChange_pct_Tminus1,H2_T0_Current,CH4_T0_Current,C2H6_T0_Current,C2H4_T0_Current,C2H2_T0_Current,CO_T0_Current,CO2_T0_Current,BDV_T0_Current,Moisture_PPM_T0_Current,WTI_HV_T0_Current,WTI_LV_T0_Current,OTI_T0_Current,Loading_pct_T0_Current,Ambient_Temp_T0_Current,Age_Years_T0_Current,IR_HV_E_1min_T0_Current,IR_LV_E_1min_T0_Current,IR_TV_E_1min_T0_Current,IR_HV_E_10min_T0_Current,IR_LV_E_10min_T0_Current,IR_TV_E_10min_T0_Current,PI_HV_T0_Current,PI_LV_T0_Current,PI_TV_T0_Current,Winding_HV_TanDelta_pct_T0_Current,Winding_LV_TanDelta_pct_T0_Current,Winding_TV_TanDelta_pct_T0_Current,Winding_HV_CapChange_pct_T0_Current,Winding_LV_CapChange_pct_T0_Current,Winding_TV_CapChange_pct_T0_Current,Bushing_HV_R_TanDelta_pct_T0_Current,Bushing_HV_Y_TanDelta_pct_T0_Current,Bushing_HV_B_TanDelta_pct_T0_Current,Bushing_HV_R_CapChange_pct_T0_Current,Bushing_HV_Y_CapChange_pct_T0_Current,Bushing_HV_B_CapChange_pct_T0_Current,Bushing_LV_R_TanDelta_pct_T0_Current,Bushing_LV_Y_TanDelta_pct_T0_Current,Bushing_LV_B_TanDelta_pct_T0_Current,Bushing_LV_R_CapChange_pct_T0_Current,Bushing_LV_Y_CapChange_pct_T0_Current,Bushing_LV_B_CapChange_pct_T0_Current,Bushing_TV_R_TanDelta_pct_T0_Current,Bushing_TV_Y_TanDelta_pct_T0_Current,Bushing_TV_B_TanDelta_pct_T0_Current,Bushing_TV_R_CapChange_pct_T0_Current,Bushing_TV_Y_CapChange_pct_T0_Current,Bushing_TV_B_CapChange_pct_T0_Current,Trend_Scenario,HI_Tminus2,HI_Tminus1,HI_Current,Current_Condition,Weighted_Trend_Older,Weighted_Trend_Recent,Weighted_Trend_Total,Trend_Acceleration,Trend_Penalty,Trend_Direction,Trend_Severity,Trend_Alert_Flag,Fastest_Deteriorating_Parameter,Dynamic_HI_PreCap,Dynamic_HI_Final,Dynamic_Condition,Binary_DHI,Dynamic_Anomaly_Flag,Dynamic_Anomaly_Type,Current_Hard_Cap_Flag,Current_Hard_Cap_Reason,DHI_Delta_vs_Current,DHI_training_target,Trend_Cap_Flag,Trend_Cap_Reason
1,1272.0816,802.4784,118.5089,147.0066,26.3029,1101.8577,7484.9481,62.2956,14.399,79.3452,79.0254,68.227,81.5451,37.6511,21.6,10502.4051,9922.0443,2864.8814,17422.1311,18250.0472,4982.5714,1.6589,1.8393,1.7392,0.44,0.4125,0.4757,0.2328,0.758,0.1579,0.513,0.5336,0.4481,-0.29,-0.1163,-0.0782,0.4846,0.51,0.5224,-0.1028,0.5005,0.0183,0.5137,0.4597,0.5196,0.0755,0.2574,-0.0499,1525.2988,884.0434,128.8977,174.8194,29.2352,1202.1532,7987.4901,59.2451,18.4467,83.6653,86.03,71.2294,85.9998,37.8824,22.6,9341.7959,9060.4144,1507.7396,15353.747,16214.0115,2930.6342,1.6436,1.7895,1.9437,0.5085,0.492,0.5325,-0.879,0.3899,-0.1817,0.5811,0.5605,0.5169,0.6411,-1.3019,-0.611,0.5367,0.5682,0.5691,1.5039,0.7093,1.4912,0.5437,0.5045,0.5553,-0.2496,1.2956,0.9465,1766.0,982.4,144.9,197.0,33.2,1379.0,8750.7,55.8,23.6,83.3,86.5,76.7,89.4,37.7,23.6,7158.8,7761.2,97.3,11700.6,13544.9,165.5,1.634,1.745,1.701,0.575,0.594,0.592,-3.5,3.03,-2.99,0.641,0.631,0.596,3.17,-3.18,-3.79,0.609,0.618,0.623,4.35,3.42,4.39,0.591,0.559,0.605,2.31,3.41,3.66,Rapid_Deterioration,0.1654,0.0976,0.0,Critical,0.09966,0.14358,0.24324,0.04392,0.08,Deteriorating,High,0,C2H2,0.0,0.0,Critical,0,1,Current_Hard_Cap,1,Any IR 1min<500 Mohm; Any IR 10min<1000 Mohm,0.0,0.0,1,IR_TV_E_1min; IR_TV_E_10min
2,1022.87,552.8579,112.4656,148.6782,22.3128,1010.8278,6332.63,44.2555,39.7535,94.5624,97.4607,84.542,107.7308,44.7889,31.0,5594.0812,5204.7977,3900.2589,7450.014,8456.3779,6017.5397,1.3318,1.6247,1.5429,0.8268,0.8555,0.7629,-2.8471,3.6783,4.5739,0.6717,0.6731,0.8583,3.788,-3.0896,-5.2474,0.6596,0.7709,0.7169,3.7116,-3.5742,4.0645,0.7999,0.6701,0.7499,-4.5874,0.9206,-5.179,1192.7886,605.4372,119.4627,165.2755,25.4003,1035.4699,6779.0221,41.7151,41.044,97.0079,100.7204,86.981,108.9163,45.0818,32.0,4818.6705,4264.2519,3103.404,6232.7043,7325.6507,4710.4549,1.2934,1.7179,1.5178,0.851,0.8685,0.8014,-4.7497,5.1957,4.9807,0.7005,0.7031,0.8972,4.4675,-3.8903,-6.0256,0.6862,0.7958,0.7418,4.7843,-4.2278,5.4756,0.8378,0.7,0.7756,-5.8159,1.5912,-5.9063,1600.4,842.7,140.6,193.8,34.1,1309.1,7992.9,33.7,46.4,106.2,109.3,94.7,117.4,45.0,33.0,1782.3,1780.3,1049.9,1972.9,2113.3,1204.3,1.107,1.187,1.147,0.987,0.981,0.944,-9.33,9.49,8.91,0.771,0.82,0.99,7.6,-6.97,-8.92,0.769,0.926,0.817,7.72,-7.07,8.27,0.966,0.805,0.852,-8.41,6.3,-8.97,Sudden_Deterioration,0.5516,0.5052,0.3219,Very Poor,0.06827,0.26952,0.33779,0.20125,0.13354,Deteriorating,Severe,1,C2H2,0.2388,0.2388,Very Poor,0,1,Rapid_Trend_Deterioration,0,,-0.0831,0.0,1,IR_TV_E_1min; IR_HV_E_10min; IR_LV_E_10min; IR_TV_E_10min; Winding_LV_CapChange_pct; Winding_TV_CapChange_pct; Bushing_TV_Y_CapChange_pct
3,1232.3401,742.4479,117.4091,139.3155,19.277,1182.123,6375.8625,40.3008,40.7385,96.4638,93.1594,86.3647,100.633,43.445,29.1,3033.5788,4274.6019,5474.4545,5318.8844,6278.669,9000.3105,1.7533,1.4688,1.6441,0.8775,0.8741,0.8828,-5.0927,4.8514,-5.0533,0.7372,0.8911,0.7993,2.2295,-4.0891,-4.3987,0.8121,0.8133,0.874,5.4121,-5.1781,2.6446,0.7831,0.824,0.6798,5.9553,3.7305,-6.316,1334.6261,817.0349,124.5543,155.2697,21.904,1217.8699,6629.8089,38.8674,43.1641,102.4412,101.5831,88.0895,105.7998,43.4787,30.1,1867.1489,3497.9473,4456.1129,4095.6346,4061.9813,6705.2369,2.1935,1.1612,1.5047,0.9121,0.9374,0.9053,-6.7146,6.3589,-6.9978,0.77,0.9102,0.8406,3.6788,-5.9745,-5.5594,0.8554,0.8475,0.9016,6.7435,-6.5952,4.3047,0.8192,0.8603,0.7131,7.2018,4.6133,-7.5378,1433.5,865.7,133.2,175.2,25.9,1310.2,7080.4,34.9,46.6,101.7,99.3,91.3,109.5,43.5,31.1,1273.1,2506.9,3339.7,1546.2,3055.7,4334.3,1.215,1.219,1.298,0.963,0.99,0.949,-9.34,8.01,-9.36,0.807,0.945,0.886,5.33,-7.58,-6.54,0.901,0.874,0.935,8.82,-7.52,5.28,0.854,0.886,0.747,8.53,6.04,-8.53,Gradual_Deterioration,0.5101,0.4524,0.3648,Very Poor,0.08474,0.12887,0.21361,0.04413,0.07114,Deteriorating,High,1,PI_HV,0.3213,0.3213,Very Poor,0,1,Rapid_Trend_Deterioration,0,,-0.0435,0.0,1,IR_HV_E_10min
4,1406.8651,776.4705,121.4193,163.4654,29.3457,1176.3762,7558.9965,37.0188,39.7897,99.7264,102.0872,90.0442,106.4102,41.2453,22.9,2984.6818,2754.1801,2782.4797,2381.2669,3088.6974,3765.1257,0.8408,1.1215,1.3532,0.8717,0.8468,0.8394,9.4953,12.0,-11.8932,0.6904,0.741,0.787,6.8324,7.4457,9.0822,0.7713,0.7391,0.7803,-7.4893,8.0069,8.7643,0.7993,0.8062,0.7248,-9.3968,8.5571,-7.5824,1089.4188,638.8972,110.1103,149.8846,23.7545,993.4338,6457.2618,42.2089,35.9908,101.0738,96.5392,86.2782,102.4885,40.9242,23.9,4018.4098,4272.6787,4261.8279,4930.9202,4997.6228,6647.9637,1.2271,1.1697,1.5599,0.7655,0.786,0.7895,7.7403,8.6361,-8.7112,0.652,0.6912,0.7145,5.6668,5.472,6.7283,0.703,0.6862,0.7359,-5.9643,6.1187,6.1478,0.7414,0.7267,0.6759,-7.3617,6.1852,-6.1391,911.3,546.7,99.1,126.6,19.0,837.4,5620.8,45.6,32.6,92.9,90.6,83.7,97.3,40.3,24.9,5107.8,5398.5,5414.7,7617.0,8022.7,8431.5,1.491,1.486,1.557,0.7,0.717,0.734,5.46,5.79,-5.76,0.611,0.653,0.685,4.0,3.57,5.16,0.649,0.625,0.687,-4.33,4.16,3.97,0.711,0.666,0.628,-5.33,3.8,-4.56,Improving,0.0,0.4897,0.5887,Poor,-0.15841,-0.14552,-0.30393,0.01288,0.00206,Improving,Stable,0,,0.5129,0.5129,Poor,0,1,DGA,0,,-0.0758,51.29,0,
5,638.7847,304.2136,89.9696,83.7125,6.1626,654.3794,4232.3637,52.6052,27.483,92.5736,83.7334,77.8332,94.6481,39.3699,24.1,9056.144,7371.7547,7892.6516,13098.2986,11955.5332,16412.056,1.4463,1.6218,2.0794,0.5955,0.6043,0.601,1.8538,1.1869,0.5489,0.5897,0.5619,0.4854,0.4253,-0.8178,-0.0331,0.5805,0.5339,0.5266,0.0444,-0.75,2.1225,0.5262,0.5353,0.5302,0.799,-1.5148,-0.426,761.1734,424.0268,100.0856,100.5236,9.1981,763.6819,4767.3227,48.48,30.104,87.8379,87.0505,80.1416,97.4503,39.0709,25.1,7758.495,6717.0419,7551.5708,11863.323,10188.4612,13788.836,1.5291,1.5168,1.826,0.6454,0.6443,0.6493,2.9158,2.8976,2.3694,0.6379,0.6192,0.5529,1.6273,-2.1047,1.3467,0.6226,0.59,0.5736,1.6889,-1.9368,3.0049,0.5604,0.576,0.5781,2.0283,-2.7636,-2.0845,1091.5,588.8,110.7,120.4,15.3,873.9,5769.3,42.4,34.4,91.8,89.6,84.0,101.2,39.7,26.1,5930.4,4989.6,6066.0,9416.2,7411.3,10110.0,1.588,1.485,1.667,0.731,0.705,0.74,5.59,5.58,5.6,0.701,0.695,0.633,3.9,-4.46,4.37,0.721,0.675,0.647,4.48,-4.56,4.95,0.628,0.63,0.66,4.82,-4.66,-3.87,Rapid_Deterioration,0.7558,0.688,0.5794,Poor,0.09977,0.15971,0.25948,0.05994,0.08743,Deteriorating,Severe,1,BDV,0.5259,0.5259,Poor,0,1,Rapid_Trend_Deterioration,0,,-0.0535,52.59,0,
6,1539.3889,899.326,135.6877,175.5186,33.9577,1273.087,8195.642,35.9619,45.4006,107.7926,108.701,94.5446,115.8053,44.102,27.6,1350.3875,1233.735,2082.8099,1729.7379,2192.2505,2458.0897,1.2809,1.7769,1.1802,0.8774,0.9019,0.885,-7.9635,8.0504,7.9777,0.7399,0.7434,0.7332,6.8663,5.9519,6.1652,0.8283,0.7461,0.7618,-7.9589,-5.9744,7.6488,0.6691,0.6764,0.6571,5.9836,7.6885,5.0084,1623.1336,892.3591,138.3931,181.2246,32.492,1298.9176,8097.6446,35.3487,45.6425,106.4455,103.7577,93.5425,118.2195,43.2905,28.6,846.4104,1423.0481,1914.9652,1693.5486,1124.4874,1970.038,2.0009,0.8384,1.0288,0.8898,0.907,0.8822,-7.6142,8.6297,8.1193,0.7433,0.7645,0.7386,7.0083,5.9112,6.1653,0.8244,0.7621,0.7702,-8.5955,-5.9642,7.5013,0.6655,0.6909,0.6608,6.3786,8.3907,4.6631,1608.8,909.2,138.6,185.2,33.8,1293.7,8184.7,34.6,46.3,102.9,102.4,95.4,117.1,44.1,29.6,1021.2,1042.2,1694.4,1200.0,1200.0,1859.5,1.175,1.151,1.097,0.884,0.91,0.894,-8.53,8.9,8.13,0.748,0.763,0.746,7.43,5.85,6.67,0.843,0.756,0.779,-8.7,-6.03,7.87,0.682,0.697,0.668,6.65,8.21,5.4,Stable,0.402,0.0,0.372,Very Poor,0.01717,0.02699,0.04416,0.00982,0.01482,Deteriorating,Low,0,PI_LV,0.3044,0.3044,Very Poor,0,1,DGA,0,,-0.0676,30.44,0,
7,864.0407,626.4018,109.4872,147.8539,24.5487,947.1853,6961.2621,43.3385,40.5069,99.6902,98.0498,85.6691,104.1124,43.6063,29.3,4874.2636,4325.2781,3869.5265,8355.5858,6106.4989,6447.5085,1.7142,1.4118,1.6662,0.8336,0.8115,0.7628,5.5267,-4.7737,3.1364,0.8105,0.705,0.663,2.5075,3.7999,1.7133,0.6674,0.7493,0.5745,3.0528,2.398,-2.4201,0.6462,0.6997,0.6432,3.1601,3.2032,2.0249,1006.5297,688.6222,114.4693,152.0958,26.4878,990.8691,7156.2972,40.9807,41.7519,98.9137,101.0209,87.3648,103.762,44.0189,30.3,4413.0021,3578.9216,3250.1738,6555.983,5070.9048,5407.7675,1.4856,1.4169,1.6638,0.8405,0.8438,0.7988,6.1722,-5.8053,4.5646,0.8136,0.744,0.6878,3.075,4.5988,2.5652,0.6842,0.7766,0.6092,4.4419,2.8371,-3.7427,0.6814,0.723,0.6702,4.2429,3.9111,3.1017,1329.5,835.2,132.2,180.8,33.0,1149.6,8141.8,34.6,46.4,107.1,105.7,91.6,113.4,44.1,31.3,2498.0,2037.3,1805.5,2954.0,2331.3,2043.4,1.183,1.144,1.132,0.942,0.967,0.903,9.28,-8.77,8.66,0.882,0.83,0.753,6.09,7.59,6.36,0.751,0.856,0.685,7.67,6.44,-6.71,0.761,0.806,0.772,6.38,7.04,6.27,Sudden_Deterioration,0.5615,0.5199,0.3689,Very Poor,0.06113,0.22205,0.28318,0.16092,0.1107,Deteriorating,Severe,1,BDV,0.3001,0.3001,Very Poor,0,1,Rapid_Trend_Deterioration,0,,-0.0688,0.0,1,IR_TV_E_10min; PI_TV; Winding_TV_CapChange_pct; Bushing_HV_R_CapChange_pct; Bushing_HV_B_CapChange_pct; Bushing_LV_R_CapChange_pct; Bushing_LV_Y_CapChange_pct; Bushing_TV_Y_CapChange_pct; Bushing_TV_B_CapChange_pct
8,821.6472,466.4512,97.508,102.9668,12.6377,679.2273,4796.8544,51.119,30.938,93.7449,91.4573,80.5414,96.6366,39.5013,17.4,7258.5375,6273.3377,6621.5036,11773.0858,10428.0235,11543.6037,1.622,1.6623,1.7434,0.6931,0.6463,0.6697,5.576,-5.0319,-5.0427,0.6817,0.6239,0.6055,3.9675,3.1206,3.9528,0.591,0.5601,0.6496,-3.7822,3.4905,4.6896,0.5282,0.6419,0.643,4.1979,-4.2509,3.8848,764.1826,474.6533,102.1078,103.7901,12.871,672.3515,5025.3381,51.2248,31.5364,93.5749,91.933,79.7974,95.1919,39.1121,18.4,7077.4309,6062.347,6825.2076,11629.5904,10939.3941,10999.503,1.6432,1.8045,1.6116,0.6985,0.6491,0.662,5.7105,-4.3106,-4.854,0.6767,0.6401,0.6099,4.0645,3.1551,4.2784,0.5873,0.5731,0.6379,-3.8498,4.025,4.5353,0.5293,0.6492,0.6574,4.5295,-3.8632,4.3365,766.1,487.3,101.3,108.7,12.7,684.5,5136.7,50.4,31.5,94.0,91.5,81.0,96.0,39.7,19.4,6971.2,6068.8,6508.6,11246.8,10258.4,10908.1,1.613,1.69,1.676,0.701,0.655,0.673,5.71,-5.05,-4.97,0.688,0.634,0.612,4.06,3.21,4.08,0.595,0.57,0.647,-3.97,4.25,4.66,0.534,0.652,0.656,4.25,-4.43,4.11,Stable,0.6562,0.6553,0.6462,Fair,0.00136,0.01339,0.01475,0.01203,0.00635,Stable,Stable,0,PI_TV,0.6422,0.6422,Fair,1,1,Winding_TD_Cap,0,,-0.004,64.22,0,
9,717.1442,380.2463,96.0989,90.2425,9.8536,626.7403,5149.4406,52.6779,27.2164,83.056,82.8384,77.2261,88.1613,38.7419,23.3,7170.9753,7862.2033,8178.9692,12624.7161,14110.9942,13151.9692,1.7605,1.7948,1.608,0.65,0.6283,0.6686,-1.8765,2.3495,2.643,0.6137,0.5762,0.5311,1.8917,2.8612,3.303,0.6545,0.6373,0.5818,2.3788,1.1663,-1.9282,0.6309,0.552,0.5889,1.882,-2.9175,-2.3992,812.1,443.922,103.5775,106.5434,13.1434,719.7196,5734.6043,52.0503,30.2673,93.994,94.2541,79.9772,87.8939,39.2053,24.3,6119.3327,7502.0573,7846.8785,9704.4792,13380.2565,11913.7404,1.5859,1.7835,1.5183,0.6928,0.688,0.6998,-3.8011,3.9408,3.4432,0.6431,0.5948,0.5664,3.375,3.3925,3.9355,0.695,0.6719,0.6112,3.4996,2.0763,-2.7843,0.6694,0.5798,0.6313,2.8898,-4.0141,-3.0694,902.7,481.7,106.8,112.2,16.7,807.8,5887.1,49.8,32.6,88.9,86.1,81.3,93.6,39.0,25.3,5599.5,6927.1,6645.2,8268.5,11507.3,10966.6,1.477,1.661,1.65,0.719,0.731,0.733,-4.96,5.29,5.06,0.677,0.635,0.593,4.69,5.04,4.91,0.722,0.708,0.656,4.8,3.17,-3.85,0.706,0.607,0.662,4.14,-4.88,-4.53,Gradual_Deterioration,0.7145,0.6482,0.607,Fair,0.09747,0.06057,0.15803,-0.0369,0.04741,Deteriorating,Moderate,1,C2H2,0.5765,0.5765,Poor,0,1,Rapid_Trend_Deterioration,0,,-0.0305,57.65,0,
10,515.2164,191.3789,84.0622,68.067,10.7134,516.6921,4124.8467,55.2462,24.5921,84.2092,84.9123,75.218,89.4536,37.8081,11.7,9065.9459,9710.1788,8430.9286,11709.4912,15054.8736,10891.7959,1.2916,1.5504,1.2919,0.6587,0.5441,0.6538,0.8684,1.3117,0.4525,0.5544,0.5314,0.6081,4.0292,6.0842,4.7824,0.5693,0.6205,0.6594,2.9572,6.0216,-4.0597,0.5836,0.5867,0.5868,2.4788,5.1483,2.933,608.7901,229.9473,81.7719,80.4006,7.9413,514.7604,3005.9801,53.3849,29.1487,85.6956,84.3214,74.745,90.3012,35.2101,12.7,8913.5456,9509.9697,6606.2177,13453.6755,18551.8606,15610.9428,1.5094,1.9508,2.2273,0.5273,0.5328,0.4896,3.1708,2.3517,6.0563,0.4622,0.618,0.5512,3.0118,3.6738,1.4589,0.4937,0.5914,0.6312,1.1947,2.2439,-5.2464,0.6506,0.5447,0.5542,4.3921,0.9748,1.9809,420.1,235.1,74.2,83.1,4.3,499.0,3453.4,52.7,27.3,83.4,81.8,74.8,88.7,37.1,13.7,7616.0,8720.1,8214.6,12724.0,15563.4,14337.9,1.671,1.785,1.745,0.587,0.572,0.577,3.85,3.49,2.96,0.537,0.58,0.628,2.97,2.98,2.9,0.571,0.552,0.591,3.4,3.94,-3.37,0.616,0.546,0.586,3.25,3.35,2.91,Volatile,0.7563,0.8028,0.7914,Fair,-0.06831,0.01671,-0.05159,0.08502,0.0136,Improving,Low,1,BDV,0.776,0.776,Fair,1,1,Rapid_Trend_Deterioration,0,,-0.0154,77.60000000000001,0,
